INFO |10:54:52{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:52{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:57{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:57{scheduling-1} 409-waitForEvolution OK!
INFO |10:55:02{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:55:02{scheduling-1} 409-waitForEvolution OK!
INFO |10:55:07{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:55:07{scheduling-1} 409-waitForEvolution OK!
INFO |10:55:12{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:55:12{scheduling-1} 409-waitForEvolution OK!
INFO |10:55:34{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:55:34{scheduling-1} 409-waitForEvolution OK!
INFO |10:55:34{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:55:34{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:55:34{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:55:39{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:55:39{scheduling-1} 409-waitForEvolution OK!
INFO |10:55:44{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:55:44{scheduling-1} 409-waitForEvolution OK!
INFO |10:55:49{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:55:49{scheduling-1} 409-waitForEvolution OK!
INFO |10:55:54{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:55:54{scheduling-1} 409-waitForEvolution OK!
INFO |10:55:59{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:55:59{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:04{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:04{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:09{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:09{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:14{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:14{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:19{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:19{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:24{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:24{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:29{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:29{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:34{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:34{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:39{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:39{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:44{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:44{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:49{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:49{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:54{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:54{scheduling-1} 409-waitForEvolution OK!
INFO |10:56:59{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:56:59{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:04{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:04{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:09{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:09{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:14{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:14{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:19{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:19{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:24{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:24{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:29{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:29{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:34{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:34{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:39{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:39{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:44{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:44{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:49{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:49{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:54{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:54{scheduling-1} 409-waitForEvolution OK!
INFO |10:57:59{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:57:59{scheduling-1} 409-waitForEvolution OK!
INFO |10:58:04{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:58:04{scheduling-1} 409-waitForEvolution OK!
INFO |10:58:09{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:58:09{scheduling-1} 409-waitForEvolution OK!
INFO |10:58:14{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:58:14{scheduling-1} 409-waitForEvolution OK!
INFO |10:58:19{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:58:19{scheduling-1} 409-waitForEvolution OK!
INFO |10:58:24{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:58:24{scheduling-1} 409-waitForEvolution OK!
INFO |10:58:29{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:58:29{scheduling-1} 409-waitForEvolution OK!
INFO |10:58:34{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:58:34{scheduling-1} 409-waitForEvolution OK!
